0,1,2,3,4,5,6,7,8,9,10,11,12
PROCEDIMENTO,"RN
(alteração)",VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
EREÇÃO FÁRMACO-INDUZIDA,,,,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,EXAMES ESPECÍFICOS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
ESPIROMETRIA FORÇADA - VOLUMES E FLUXOS MÁXIMOS (COM/SEM Bd),,,,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,EXAMES ESPECÍFICOS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
ESTÉREO-FOTO DE PAPILA,,,,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,EXAMES ESPECÍFICOS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
ESTESIOMETRIA,,,,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,EXAMES ESPECÍFICOS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
EXAME A FRESCO DO CONTEÚDO VAGINAL E CERVICAL,,,,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,EXAMES ESPECÍFICOS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
EXAME DE MOTILIDADE OCULAR - TESTE ORTÓPTICO,,,,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,EXAMES ESPECÍFICOS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
EXAME MICOLÓGICO - CULTURA E IDENTIFICAÇÃO DE COLÔNIA,,,,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,EXAMES ESPECÍFICOS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
EXAME MICOLÓGICO DIRETO,,,,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,EXAMES ESPECÍFICOS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
GONIOSCOPIA OCULAR,,,,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,EXAMES ESPECÍFICOS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
INVESTIGAÇÃO ULTRASSÔNICA COM REGISTRO GRÁFICO (QUALQUER ÁREA),,,,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,EXAMES ESPECÍFICOS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
INVESTIGAÇÃO ULTRASSÔNICA COM TESTE DE STRESS E COM REGISTRO GRÁFICO,,,,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,EXAMES ESPECÍFICOS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
INVESTIGAÇÃO ULTRASSÔNICA COM TESTE DE STRESS E SEM REGISTRO GRÁFICO,,,,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,EXAMES ESPECÍFICOS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
INVESTIGAÇÃO ULTRASSÔNICA COM TESTE DE STRESS EM ESTEIRA E COM REGISTRO GRÁFICO,,,,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,EXAMES ESPECÍFICOS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
INVESTIGAÇÃO ULTRASSÔNICA SEM REGISTRO GRÁFICO (QUALQUER ÁREA),,,,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,EXAMES ESPECÍFICOS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
MAPEAMENTO DE RETINA - OFTALMOSCOPIA INDIRETA,,,,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,EXAMES ESPECÍFICOS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
MEDIDA DE PRESSÃO HEPÁTICA,,,,Seg. Ambulatorial,HCO,HSO,REF,PAC,,PROCEDIMENTOS,EXAMES ESPECÍFICOS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
MICROSCOPIA ESPECULAR DE CÓRNEA,,,,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,EXAMES ESPECÍFICOS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
OFTALMODINAMOMETRIA,,,,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,EXAMES ESPECÍFICOS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
OXIMETRIA NÃO INVASIVA,,,,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,EXAMES ESPECÍFICOS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
