0,1,2,3,4,5,6,7,8,9,10,11,12
PROCEDIMENTO,"RN
(alteração)",VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
"RECEPTOR DE ESTROGÊNIO, ENSAIO IMUNO-HISTOQUÍMICO",,,,Seg. Ambulatorial,HCO,HSO,REF,PAC,,PROCEDIMENTOS,ANATOMIA PATOLÓGICA E CITOPATOLOGIA,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"RECEPTOR DE PROGESTERONA, ENSAIO IMUNO-HISTOQUÍMICO",,,,Seg. Ambulatorial,HCO,HSO,REF,PAC,,PROCEDIMENTOS,ANATOMIA PATOLÓGICA E CITOPATOLOGIA,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"UREASE, TESTE RÁPIDO PARA HELICOBACTER PYLORI",,,,Seg. Ambulatorial,HCO,HSO,REF,,,PROCEDIMENTOS,ANATOMIA PATOLÓGICA E CITOPATOLOGIA,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
ANGIOGRAFIA CAROTÍDIA (VIA FEMURAL),,,,Seg. Ambulatorial,HCO,HSO,REF,PAC,,CARDIOVASCULAR - IN VIVO,MEDICINA NUCLEAR,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
ANGIOGRAFIA RADIOISOTÓPICA,,,,Seg. Ambulatorial,HCO,HSO,REF,PAC,,CARDIOVASCULAR - IN VIVO,MEDICINA NUCLEAR,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
CINTILOGRAFIA DO MIOCÁRDIO (INFARTO AGUDO),,,,Seg. Ambulatorial,HCO,HSO,REF,PAC,,CARDIOVASCULAR - IN VIVO,MEDICINA NUCLEAR,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
CINTILOGRAFIA DO MIOCÁRDIO COM FLUORDEOXIGLICOSE (FDG-FLÚOR-18),,,,Seg. Ambulatorial,HCO,HSO,REF,PAC,,CARDIOVASCULAR - IN VIVO,MEDICINA NUCLEAR,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
CINTILOGRAFIA DO MIOCÁRDIO PERFUSÃO - ESTRESSE FARMACOLÓGICO (COM DIRETRIZ DE UTILIZAÇÃO),,,,Seg. Ambulatorial,HCO,HSO,REF,PAC,10,CARDIOVASCULAR - IN VIVO,MEDICINA NUCLEAR,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
CINTILOGRAFIA DO MIOCÁRDIO PERFUSÃO - ESTRESSE FÍSICO (COM DIRETRIZ DE UTILIZAÇÃO),,,,Seg. Ambulatorial,HCO,HSO,REF,PAC,10,CARDIOVASCULAR - IN VIVO,MEDICINA NUCLEAR,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
CINTILOGRAFIA DO MIOCÁRDIO PERFUSÃO - REPOUSO (COM DIRETRIZ DE UTILIZAÇÃO),,,,Seg. Ambulatorial,HCO,HSO,REF,PAC,10,CARDIOVASCULAR - IN VIVO,MEDICINA NUCLEAR,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
CINTILOGRAFIA SINCRONIZADA DAS CÂMARAS CARDÍACAS - ESFORÇO,,,,Seg. Ambulatorial,HCO,HSO,REF,PAC,,CARDIOVASCULAR - IN VIVO,MEDICINA NUCLEAR,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
CINTILOGRAFIA SINCRONIZADA DAS CÂMARAS CARDÍACAS - REPOUSO,,,,Seg. Ambulatorial,HCO,HSO,REF,PAC,,CARDIOVASCULAR - IN VIVO,MEDICINA NUCLEAR,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
FLUXO SANGUÍNEO DAS EXTREMIDADES,,,,Seg. Ambulatorial,HCO,HSO,REF,PAC,,CARDIOVASCULAR - IN VIVO,MEDICINA NUCLEAR,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"QUANTIFICAÇÃO DE ""SHUNT"" DA DIREITA PARA A ESQUERDA",,,,Seg. Ambulatorial,HCO,HSO,REF,PAC,,CARDIOVASCULAR - IN VIVO,MEDICINA NUCLEAR,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"QUANTIFICAÇÃO DE ""SHUNT"" PERIFÉRICO",,,,Seg. Ambulatorial,HCO,HSO,REF,PAC,,CARDIOVASCULAR - IN VIVO,MEDICINA NUCLEAR,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
VENOGRAFIA RADIOISOTÓPICA,,,,Seg. Ambulatorial,HCO,HSO,REF,PAC,,CARDIOVASCULAR - IN VIVO,MEDICINA NUCLEAR,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
CINTILOGRAFIA DAS GLÂNDULAS SALIVARES COM OU SEM ESTÍMULO,,,,Seg. Ambulatorial,HCO,HSO,REF,PAC,,DIGESTIVO - IN VIVO,MEDICINA NUCLEAR,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
CINTILOGRAFIA DO FÍGADO E DO BAÇO,,,,Seg. Ambulatorial,HCO,HSO,REF,PAC,,DIGESTIVO - IN VIVO,MEDICINA NUCLEAR,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
CINTILOGRAFIA DO FÍGADO E VIAS BILIARES,,,,Seg. Ambulatorial,HCO,HSO,REF,PAC,,DIGESTIVO - IN VIVO,MEDICINA NUCLEAR,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
