0,1,2,3,4,5,6,7,8,9,10,11,12
PROCEDIMENTO,"RN
(alteração)",VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
URETERÓLISE,,,,,HCO,HSO,REF,,,URETER,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
URETEROLITOTOMIA,,,,,HCO,HSO,REF,,,URETER,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
URETEROLITOTRIPSIA EXTRACORPÓREA,,,,,HCO,HSO,REF,PAC,,URETER,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
URETEROPLASTIA,,,,,HCO,HSO,REF,,,URETER,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
URETERORRENOLITOTOMIA,,,,,HCO,HSO,REF,,,URETER,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
URETERORRENOLITOTRIPSIA A LASER,,,,,HCO,HSO,REF,PAC,,URETER,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
"URETERORRENOLITOTRIPSIA FLEXÍVEL OU RÍGIDA (MEC., E.H., OU US)",,,,,HCO,HSO,REF,,,URETER,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
URETEROSSIGMOIDOPLASTIA,,,,,HCO,HSO,REF,,,URETER,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
URETEROSSIGMOIDOSTOMIA,,,,,HCO,HSO,REF,,,URETER,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
URETEROSTOMIA CUTÂNEA,,,,,HCO,HSO,REF,,,URETER,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
URETEROTOMIA INTERNA PERCUTÂNEA,,,,,HCO,HSO,REF,,,URETER,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
URETEROTOMIA INTERNA URETEROSCÓPICA FLEXÍVEL OU RÍGIDA,,,,,HCO,HSO,REF,,,URETER,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
URETEROURETEROCISTONEOSTOMIA,,,,,HCO,HSO,REF,,,URETER,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
URETEROURETEROSTOMIA,,,,,HCO,HSO,REF,,,URETER,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
URETEROURETEROSTOMIA LAPAROSCÓPICA,,,,,HCO,HSO,REF,,,URETER,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
AMPLIAÇÃO VESICAL,,,,,HCO,HSO,REF,,,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BEXIGA PSÓICA,,,,,HCO,HSO,REF,,,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BIÓPSIA ENDOSCÓPICA DE BEXIGA,,,,Seg. Ambulatorial,HCO,HSO,REF,,,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BIÓPSIA VESICAL A CÉU ABERTO,,,,,HCO,HSO,REF,,,BEXIGA,SISTEMA URINÁRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
