0,1,2,3,4,5,6,7,8,9,10,11,12
PROCEDIMENTO,"RN
(alteração)",VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
FLÚOR E FLUORETOS,,,,Seg. Ambulatorial,HCO,HSO,REF,,,"TOXICOLOGIA / MONITORIZAÇÃO
TERAPÊUTICA",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
FORMALDEÍDO,,,,Seg. Ambulatorial,HCO,HSO,REF,,,"TOXICOLOGIA / MONITORIZAÇÃO
TERAPÊUTICA",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
METANOL,,,,Seg. Ambulatorial,HCO,HSO,REF,,,"TOXICOLOGIA / MONITORIZAÇÃO
TERAPÊUTICA",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
METIL-ETIL-CETONA,,,,Seg. Ambulatorial,HCO,HSO,REF,,,"TOXICOLOGIA / MONITORIZAÇÃO
TERAPÊUTICA",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"P-AMINOFENOL, AVALIAÇÃO DA EXPOSIÇÃO À ANILINA",,,,Seg. Ambulatorial,HCO,HSO,REF,,,"TOXICOLOGIA / MONITORIZAÇÃO
TERAPÊUTICA",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"TRICLOROCOMPOSTOS TOTAIS, AVALIAÇÃO DA EXPOSIÇÃO AO TRICLOROETANO E TRICLOROETILENO",,,,Seg. Ambulatorial,HCO,HSO,REF,,,"TOXICOLOGIA / MONITORIZAÇÃO
TERAPÊUTICA",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
ZINCO,,,,Seg. Ambulatorial,HCO,HSO,REF,,,"TOXICOLOGIA / MONITORIZAÇÃO
TERAPÊUTICA",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
ZINCOPROTOPORFIRINA,,,,Seg. Ambulatorial,HCO,HSO,REF,,,"TOXICOLOGIA / MONITORIZAÇÃO
TERAPÊUTICA",PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"AGENTES INFECCIOSOS NA ENCEFALITE E MENINGITE - DETECÇÃO POR PCR MULTIPLEX EM PAINEL NO
LÍQUOR",627/2025,17/02/2025,,Seg. Ambulatorial,HCO,HSO,REF,,,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"CHLAMYDIA TRACHOMATIS, DETECÇÃO DO DNA POR TÉCNICAS DE HIBRIDIZAÇÃO OU PCR; CHLAMYDIA
TRACHOMATIS, ANTÍGENO.",,,,Seg. Ambulatorial,HCO,HSO,REF,PAC,,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
"CITOMEGALOVÍRUS - QUALITATIVO, POR PCR (COM DIRETRIZ DE UTILIZAÇÃO)",,,,Seg. Ambulatorial,HCO,HSO,REF,PAC,14,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
DETECÇÃO/TIPAGEM HERPES VÍRUS 1 E 2 NO LÍQUOR,,,,Seg. Ambulatorial,HCO,HSO,REF,PAC,,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
FOCALIZAÇÃO ISOELÉTRICA DA TRANSFERRINA (COM DIRETRIZ DE UTILIZAÇÃO),,,,Seg. Ambulatorial,HCO,HSO,REF,PAC,120,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
HEPATITE B - TESTE QUANTITATIVO (COM DIRETRIZ DE UTILIZAÇÃO),,,,Seg. Ambulatorial,HCO,HSO,REF,PAC,28,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
HEPATITE C - GENOTIPAGEM (COM DIRETRIZ DE UTILIZAÇÃO),,,,Seg. Ambulatorial,HCO,HSO,REF,PAC,29,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
HEPATITE C (QUALITATIVO) POR PCR OU BDNA,,,,Seg. Ambulatorial,HCO,HSO,REF,PAC,,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
HEPATITE C (QUANTITATIVO) POR PCR OU BDNA,,,,Seg. Ambulatorial,HCO,HSO,REF,PAC,,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,"PROCEDIMENTOS DIAGNÓSTICOS E
TERAPÊUTICOS"
