0,1,2,3,4,5,6,7,8,9,10,11,12
PROCEDIMENTO,"RN
(alteração)",VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
PONTE DISTAL,,,,,HCO,HSO,REF,,,CIRURGIA ARTERIAL,SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PONTE FÊMORO POPLÍTEA PROXIMAL,,,,,HCO,HSO,REF,,,CIRURGIA ARTERIAL,SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PONTE FÊMORO-FEMORAL CRUZADA,,,,,HCO,HSO,REF,,,CIRURGIA ARTERIAL,SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PONTES AORTO-CERVICAIS OU ENDARTERECTOMIAS DOS TRONCOS SUPRA-AÓRTICOS,,,,,HCO,HSO,REF,,,CIRURGIA ARTERIAL,SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PONTES TRANSCERVICAIS,,,,,HCO,HSO,REF,,,CIRURGIA ARTERIAL,SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
REOPERAÇÃO DE AORTA ABDOMINAL,,,,,HCO,HSO,REF,,,CIRURGIA ARTERIAL,SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RESSECÇÃO DE TUMOR GLÔMICO,,,,,HCO,HSO,REF,,,CIRURGIA ARTERIAL,SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RETIRADA DE ENXERTO INFECTADO,,,,,HCO,HSO,REF,,,CIRURGIA ARTERIAL,SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
REVASCULARIZAÇÃO AORTO-FEMORAL,,,,,HCO,HSO,REF,,,CIRURGIA ARTERIAL,SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
REVASCULARIZAÇÃO ARTERIAL DE MEMBRO SUPERIOR,,,,,HCO,HSO,REF,,,CIRURGIA ARTERIAL,SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRATAMENTO CIRÚRGICO DA ISQUEMIA CEREBRAL,,,,,HCO,HSO,REF,,,CIRURGIA ARTERIAL,SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRATAMENTO CIRÚRGICO DE SÍNDROME VÉRTEBRO BASILAR,,,,,HCO,HSO,REF,,,CIRURGIA ARTERIAL,SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRATAMENTO CIRÚRGICO DE TUMOR CAROTÍDEO,,,,,HCO,HSO,REF,,,CIRURGIA ARTERIAL,SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TRONCO CELÍACO,,,,,HCO,HSO,REF,,,CIRURGIA ARTERIAL,SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CIRURGIA DE RESTAURAÇÃO VENOSA COM PONTES,,,,,HCO,HSO,REF,,,CIRURGIA VENOSA,SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CURA CIRÚRGICA DA IMPOTÊNCIA COEUNDI VENOSA,,,,,HCO,HSO,REF,,,CIRURGIA VENOSA,SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CURA CIRÚRGICA DE HIPERTENSÃO PORTAL,,,,,HCO,HSO,REF,,,CIRURGIA VENOSA,SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FULGURAÇÃO DE TELANGIECTASIAS,,,,Seg. Ambulatorial,,,REF,,,CIRURGIA VENOSA,SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
IMPLANTE DE FILTRO DE VEIA CAVA,,,,,HCO,HSO,REF,,,CIRURGIA VENOSA,SISTEMA CÁRDIO-CIRCULATÓRIO,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
