0,1,2,3,4,5,6,7,8,9,10,11,12
PROCEDIMENTO,"RN
(alteração)",VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
BIÓPSIA DE MÚSCULOS,,,,Seg. Ambulatorial,HCO,HSO,REF,,,MÚSCULOS,OLHOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CIRURGIA COM SUTURA AJUSTÁVEL,,,,,HCO,HSO,REF,,,MÚSCULOS,OLHOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ESTRABISMO CICLO VERTICAL/TRANSPOSIÇÃO,,,,,HCO,HSO,REF,,,MÚSCULOS,OLHOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
ESTRABISMO HORIZONTAL,,,,,HCO,HSO,REF,,,MÚSCULOS,OLHOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
INJEÇÃO OCULAR DE TOXINA BOTULÍNICA,,,,Seg. Ambulatorial,HCO,HSO,REF,PAC,,MÚSCULOS,OLHOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
APLICAÇÃO DE PLACA RADIATIVA EPISCLERAL,,,,,HCO,HSO,REF,,,RETINA,OLHOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
BIÓPSIA DE RETINA,,,,,HCO,HSO,REF,,,RETINA,OLHOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
EXÉRESE DE TUMOR DE CORÓIDE E/OU CORPO CILIAR,,,,,HCO,HSO,REF,,,RETINA,OLHOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
FOTOCOAGULAÇÃO (LASER),,,,Seg. Ambulatorial,HCO,HSO,REF,,,RETINA,OLHOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
"IMPLANTE INTRAVÍTREO DE POLÍMERO FARMACOLÓGICO DE LIBERAÇÃO CONTROLADA (COM DIRETRIZ DE
UTILIZAÇÃO)",,,,Seg. Ambulatorial,HCO,HSO,REF,,46,RETINA,OLHOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
MAPEAMENTO DE RETINA (FUNDOSCOPIA),,,,Seg. Ambulatorial,HCO,HSO,REF,,,RETINA,OLHOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PANCRIOTERAPIA PERIFÉRICA,,,,,HCO,HSO,REF,,,RETINA,OLHOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
PANTOFOTOCOAGULAÇÃO Á LASER NA RETINOPATIA DA PREMATURIDADE (COM DIRETRIZ DE UTILIZAÇÃO),,,,Seg. Ambulatorial,HCO,HSO,REF,,59,RETINA,OLHOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
REMOÇÃO DE IMPLANTE EPISCLERAL,,,,,HCO,HSO,REF,,,RETINA,OLHOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RETINOPEXIA COM INTROFLEXÃO ESCLERAL,,,,,HCO,HSO,REF,,,RETINA,OLHOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RETINOPEXIA PNEUMÁTICA,,,,,HCO,HSO,REF,,,RETINA,OLHOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
RETINOPEXIA PROFILÁTICA (CRIOPEXIA),,,,,HCO,HSO,REF,,,RETINA,OLHOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
TERMOTERAPIA TRANSPUPILAR A LASER (COM DIRETRIZ DE UTILIZAÇÃO),,,,Seg. Ambulatorial,HCO,HSO,REF,,66,RETINA,OLHOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
CIRURGIA DA GLÂNDULA LACRIMAL,,,,,HCO,HSO,REF,,,VIAS LACRIMAIS,OLHOS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS
